X,genus,X,species,subttype,subtaxa,germcode
,Agrimonia,,gryposepala,,,A
,Agrimonia,,striata,,,A
,Ammannia,,coccinea,,,A
,Apocynum,,cannabinum,,,A
,Apocynum,,sibiricum,,,A
,Boehmeria,,cylindrica,,,A
,Brickellia,,eupatorioides,,,A
,Chenopodium,,capitatum,,,A
,Crotalaria,,sagittalis,,,A
,Dalea,,candida,,,A
,Dalea,,foliosa,,,A
,Dalea,,purpurea,,,A
,Dalea,,villosa,,,A
,Desmanthus,,illinoensis,,,A
,Desmodium,,canadense,,,A
,Desmodium,,illinoense,,,A
,Desmodium,,paniculatum,,,A
,Desmodium,,sessilifolium,,,A
,Echinacea,,purpurea,,,A
,Euphorbia,,cyathophora,,,A
,Glycyrrhiza,,lepidota,,,A
,Helenium,,autumnale,,,A
,Helenium,,flexuosum,,,A
,Houstonia,,longifolia,,,A
,Hypericum,,prolificum,,,A
,Ipomoea,,leptophylla,,,A
,Linaria,,canadensis,,,A
,Lycopus,,americanus,,,A
,Lycopus,,asper,,,A
,Mentha,,arvensis,,,A
,Mirabilis,,nyctaginea,,,A
,Monarda,,citriodora,,,A
,Monarda,,fistulosa,,,A
,Monarda,,punctata,,,A
,Nicotiana,,rustica,,,A
,Oenothera,,biennis,,,A
,Oenothera,,pilosella,,,A
,Oligoneuron,,album,,,A
,Opuntia,,humifusa,,,A
,Oxytropis,,lambertii,,,A
,Pycnanthemum,,incanum,,,A
,Pycnanthemum,,muticum,,,A
,Pycnanthemum,,tenuifolium,,,A
,Pycnanthemum,,verticillatum,var.,pilosum,A
,Pycnanthemum,,virginianum,,,A
,Rudbeckia,,maxima,,,A
,Rumex,,altissimus,,,A
,Salvia,,azurea,,,A
,Salvia,,lyrata,,,A
,Symphyotrichum,,drummondii,,,A
,Symphyotrichum,,ericoides,,,A
,Symphyotrichum,,laeve,,,A
,Symphyotrichum,,lanceolatum,,,A
,Symphyotrichum,,lateriflorum,,,A
,Symphyotrichum,,oblongifolium,,,A
,Symphyotrichum,,oolentangiense,,,A
,Thermopsis,,caroliniana,,,A
,Veronicastrum,,virginicum,,,A
,Yucca,,glauca,,,A
,Callirhoe,,bushii,,,B
,Callirhoe,,digitata,,,B
,Callirhoe,,involucrata,,,B
,Callirhoe,,triangulata,,,B
,Ceanothus,,americanus,,,B
,Ceanothus,,ovatus,,,B
,Onosmodium,,molle,,,B
,Pediomelum,,esculentum,,,B
,Amorpha,,canescens,,,"C(10)"
,Amorpha,,nana,,,"C(10)"
,Astragalus,,bisulcatus,,,"C(10)"
,Astragalus,,canadensis,,,"C(10)"
,Astragalus,,crassicarpus,,,"C(10)"
,Astragalus,,racemosus,,,"C(10)"
,Baptisia,,alba,,,"C(10)"
,Baptisia,,australis,,,"C(10)"
,Baptisia,,australis,var.,minor,"C(10)"
,Baptisia,,bracteata,,,"C(10)"
,Baptisia,,sphaerocarpa,,,"C(10)"
,Baptisia,,tinctoria,,,"C(10)"
,Chamaecrista,,fasciculata,,,"C(10)"
,Desmodium,,glutinosum,,,"C(10)"
,Lespedeza,,capitata,,,"C(10)"
,Lespedeza,,virginica,,,"C(10)"
,Lupinus,,perennis,subsp.,perennis,"C(10)"
,Lysimachia,,hybrida,,,"C(10)"
,Mimosa,,quadrivalis,var.,nuttallii,"C(10)"
,Orbexilum,,onobrychis,,,"C(10)"
,Orbexilum,,pedunculatum,,,"C(10)"
,Pediomelum,,tenuiflorum,,,"C(10)"
,Senna,,hebecarpa,,,"C(10)"
,Senna,,marilandica,,,"C(10)"
,Tephrosia,,virginiana,,,"C(10)"
,Cicuta,,maculata,,,"C(120)"
,Iris,,versicolor,,,"C(120)"
