X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Ruellia,,humilis,,,N,H,
,Acer,,ginnala,,,I,,
,Acer,,negundo,,,N,,
,Acer,,negundo,var.,interius,N,,
,Acer,,negundo,var.,negundo,N,,
,Acer,,nigrum,,,N,,
,Acer,,platanoides,,,I,,
,Acer,,rubrum,,,N,,
,Acer,,saccharinum,,,N,,
,Acer,,saccharum,,,N,,
,Acer,,spicatum,,,N,,
,Acorus,,americanus,,,N,,
,Adoxa,,moschatellina,,,N,,
,Alisma,,gramineum,,,N,SC,
,Alisma,,subcordatum,,,N,,
,Alisma,,triviale,,,N,,
,Sagittaria,,brevirostra,,,N,E,
,Sagittaria,,calycina,var.,calycina,N,T,
,Sagittaria,,cristata,,,N,,
,Sagittaria,,cuneata,,,N,,
,Sagittaria,,latifolia,,,N,,
,Sagittaria,,rigida,,,N,,
,Amaranthus,,albus,,,N,,
,Amaranthus,,blitoides,,,I,,
,Amaranthus,,hybridus,,,I,,
,Amaranthus,,powellii,,,I,,
,Amaranthus,,retroflexus,,,I,,
,Amaranthus,,tuberculatus,,,N,,
,Chenopodium,,album,,,I,,
,Chenopodium,,berlandieri,,,N,,
,Chenopodium,,berlandieri,var.,bushianum,N,,
,Chenopodium,,berlandieri,var.,zschackei,N,,
,Chenopodium,,capitatum,var.,capitatum,N,,
,Chenopodium,,desiccatum,,,N,,
,Chenopodium,,glaucum,,,N,,
,Chenopodium,,glaucum,var.,glaucum,N,,
,Chenopodium,,glaucum,var.,salinum,N,,
,Chenopodium,,pratericola,,,N,,
,Chenopodium,,rubrum,,,N,,
,Chenopodium,,rubrum,var.,humile,N,,
,Chenopodium,,rubrum,var.,rubrum,N,,
,Chenopodium,,simplex,,,N,,
,Chenopodium,,standleyanum,,,N,,
,Froelichia,,floridana,,,N,,
,Rhus,X,borealis,,,N,,
,Rhus,,glabra,,,N,,
,Rhus,,hirta,,,N,,
,Toxicodendron,,radicans,subsp.,negundo,N,,SN
,Toxicodendron,,rydbergii,,,N,,
,Toxicodendron,,vernix,,,N,,
,Aegopodium,,podagraria,,,I,,
,Aethusa,,cynapium,,,I,,
,Anethum,,graveolens,,,I,,
,Angelica,,atropurpurea,,,N,,
,Anthriscus,,sylvestris,,,I,,
,Berula,,erecta,,,N,SC,
,Carum,,carvi,,,I,,
,Cicuta,,bulbifera,,,N,,
,Cicuta,,maculata,var.,maculata,N,,
,Conium,,maculatum,,,I,,
,Cryptotaenia,,canadensis,,,N,,
,Cymopterus,,glomeratus,,,N,SC,
,Daucus,,carota,,,I,,
,Eryngium,,yuccifolium,,,N,SC,
,Heracleum,,lanatum,,,N,,
,Hydrocotyle,,americana,,,N,SC,
,Hydrocotyle,,ranunculoides,,,N,,
,Lomatium,,orientale,,,N,,
,Osmorhiza,,berteroi,,,N,E,
,Osmorhiza,,claytonii,,,N,,
,Osmorhiza,,depauperata,,,N,SC,
,Osmorhiza,,longistylis,,,N,,
,Oxypolis,,rigidior,,,N,W,
,Pastinaca,,sativa,,,I,,SN
,Pimpinella,,saxifraga,,,I,,
,Polytaenia,,nuttallii,,,N,H,
,Sanicula,,canadensis,,,N,,
,Sanicula,,gregaria,,,N,,
,Sanicula,,marilandica,,,N,,
,Sanicula,,trifoliata,,,N,SC,
,Sium,,suave,,,N,,
,Taenidia,,integerrima,,,N,SC,
,Thaspium,,barbinode,,,N,SC,
,Torilis,,japonica,,,I,,
,Zizia,,aptera,,,N,,
,Zizia,,aurea,,,N,,
,Apocynum,,androsaemifolium,,,N,,
,Apocynum,,cannabinum,,,N,,
,Apocynum,X,floribundum,,,N,,
,Apocynum,,sibiricum,,,N,,
,Ilex,,verticillata,,,N,,
,Nemopanthus,,mucronatus,,,N,,
,Arisaema,,dracontium,,,N,SC,
,Arisaema,,triphyllum,,,N,,
,Calla,,palustris,,,N,,
,Peltandra,,virginica,,,I,,
,Symplocarpus,,foetidus,,,N,,
,Aralia,,hispida,,,N,,
,Aralia,,nudicaulis,,,N,,
,Aralia,,racemosa,,,N,,
,Panax,,quinquefolius,,,N,T,
,Panax,,trifolius,,,N,,
,Asarum,,canadense,,,N,,
,Asclepias,,amplexicaulis,,,N,T,
,Asclepias,,exaltata,,,N,,
,Asclepias,,hirtella,,,N,T,
,Asclepias,,incarnata,subsp.,incarnata,N,,
,Asclepias,,lanuginosa,,,N,,
,Asclepias,,ovalifolia,,,N,,
,Asclepias,,purpurascens,,,N,H,
,Asclepias,,speciosa,,,N,,
,Asclepias,,stenophylla,,,N,E,
,Asclepias,,sullivantii,,,N,T,
,Asclepias,,syriaca,,,N,,
,Asclepias,,tuberosa,var.,interior,N,,
,Asclepias,,verticillata,,,N,,
,Asclepias,,viridiflora,,,N,,
,Asplenium,,platyneuron,,,N,SC,
,Asplenium,,rhizophyllum,,,N,,
,Asplenium,,trichomanes,subsp.,trichomanes,N,T,
,Achillea,,alpina,,,N,T,
,Achillea,,millefolium,,,U,,
,Achillea,,ptarmica,,,I,,
,Ageratina,,altissima,var.,altissima,N,,
,Agoseris,,glauca,var.,glauca,N,,
,Ambrosia,,acanthicarpa,,,I,,
,Ambrosia,,artemisiifolia,,,N,,
,Ambrosia,,psilostachya,,,N,,
,Ambrosia,,trifida,,,N,,
,Anaphalis,,margaritacea,,,N,,
,Antennaria,,howellii,,,N,,
,Antennaria,,howellii,subsp.,canadensis,N,,
,Antennaria,,howellii,subsp.,neodioica,N,,
,Antennaria,,howellii,subsp.,petaloidea,N,,
,Antennaria,,microphylla,,,N,,
,Antennaria,,neglecta,,,N,,
,Antennaria,,parlinii,,,N,,
,Antennaria,,parlinii,subsp.,fallax,N,,
,Antennaria,,parlinii,subsp.,parlinii,N,,
,Antennaria,,parvifolia,,,N,SC,
,Antennaria,,plantaginifolia,,,N,,
,Anthemis,,cotula,,,I,,
,Arctium,,minus,,,I,,
